Advance_Purchase,Nightly_Rate,Distribution_Channel,Purchased_Rate_Code,Temperature_Max,Temperature_Min,Precipitation,Snowfall,Wind_Speed
0,359,WEB,Rate 2,1.24,30.41,2.58,0,11.69
5,439,CRO/Hotel,Rate 2,18.52,-3.02,26.57,5.57,93.98
5,439,CRO/Hotel,Rate 2,11.96,-7.76,27.03,3.54,62.77
5,399,GDS,Rate 2,7.96,9.47,31.87,0,33.49
4,419,CRO/Hotel,Rate 2,-5.32,34.28,36.3,2.41,13.93
1,499,WEB,Rate 2,-5.32,-2.9,48.79,9.22,79.4
6,299,CRO/Hotel,Rate 2,-8.26,18.61,25.82,4.13,62.01
26,469,CRO/Hotel,Rate 2,15.99,23.08,16.15,7.29,53.35
5,439,CRO/Hotel,Rate 2,8.03,-3.12,39.76,10.07,89.39
5,399,GDS,Rate 2,11.24,21.41,13.54,13.81,78.86
4,349,GDS,Rate 2,-9.38,3.39,21.95,0.79,15.17
26,469,CRO/Hotel,Rate 2,19.1,16.62,3.92,0,31.17
1,419,CRO/Hotel,Rate 2,14.97,16.68,1.27,0,24.85
2,399,CRO/Hotel,Rate 2,-3.63,11.79,48.13,1.64,74.39
9,299,CRO/Hotel,Rate 2,-4.55,-10.49,41.8,0,3.35
4,419,CRO/Hotel,Rate 2,-4.5,26.77,34.8,18.42,56.99
26,469,CRO/Hotel,Rate 2,-0.87,1.04,20.45,1.22,76.25
5,399,GDS,Rate 2,5.74,-5.67,8.66,0,87.68
7,399,GDS,Rate 2,2.96,-12.96,7.82,16.12,34.21
4,379,GDS,Rate 2,-1.26,14.54,12.51,0,82.13
21,399,CRO/Hotel,Rate 2,8.36,18.88,27.46,3.69,11.06
15,269,CRO/Hotel,Rate 2,-5.82,-14.17,35.73,0,84.65
7,439,GDS,Rate 2,-1.24,10.6,33.01,7.41,12.75
15,299,CRO/Hotel,Rate 2,0.99,-3.68,14,0,39.73
15,299,CRO/Hotel,Rate 2,3.68,17.26,47.74,12.37,79.73
6,599,WEB,Rate 2,13.56,-6.28,36.89,0,14.99
28,519,WEB,Rate 2,-4.01,19.55,27.72,9.25,22.93
1,439,GDS,Rate 2,5.43,4.34,30.59,14.95,72.23
13,429,CRO/Hotel,Rate 2,7.77,31.84,20.98,0,72
13,429,CRO/Hotel,Rate 2,-8.61,-8.12,12.39,5.05,64.11
6,439,GDS,Rate 2,8.23,2.05,17.8,0,69.39
1,439,GDS,Rate 2,-4.88,-9.33,37.89,0,54.27
6,439,GDS,Rate 2,-8.05,31.23,0.72,10.23,25.18
8,439,GDS,Rate 2,18.47,28.87,5.8,0,34.57
5,499,GDS,Rate 2,18.97,-2.1,2.3,2.14,18.16
9,439,GDS,Rate 2,14.25,18,2.04,0,90.85
3,279,CRO/Hotel,Rate 2,-0.86,25.86,42.77,10.65,58.34
30,315,WEB,Rate 1,-7.07,12.76,35.18,4.85,40.09
6,439,GDS,Rate 2,10.53,11.48,23.71,0,46.2
4,279,GDS,Rate 2,3.2,-2.91,4.89,0,94.73
11,429,CRO/Hotel,Rate 2,-6.34,-10.34,24.58,0.4,15.34
11,429,CRO/Hotel,Rate 2,4.86,29.86,23.67,0,58.62
